iter	Passed	Remaining
0	2	277
1	5	246
2	6	216
3	8	214
4	11	224
5	13	209
6	14	196
7	16	185
8	17	178
9	19	171
10	20	164
11	21	159
12	23	156
13	25	157
14	27	156
15	28	151
16	30	146
17	31	143
18	32	140
19	34	136
20	35	133
21	36	130
22	37	126
23	39	124
24	40	122
25	42	120
26	43	117
27	44	114
28	46	112
29	48	112
30	49	110
31	51	108
32	52	106
33	53	103
34	55	102
35	56	100
36	57	98
37	59	96
38	60	94
39	62	93
40	64	92
41	66	91
42	67	89
43	68	87
44	71	87
45	72	85
46	73	83
47	75	81
48	76	79
49	77	77
50	79	76
51	80	74
52	81	72
53	83	70
54	84	69
55	86	67
56	88	66
57	89	65
58	91	63
59	92	61
60	93	59
61	95	58
62	96	56
63	97	55
64	99	53
65	101	52
66	102	50
67	103	48
68	105	47
69	106	45
70	109	44
71	111	43
72	113	42
73	115	40
74	116	38
75	118	37
76	120	35
77	121	34
78	123	32
79	125	31
80	128	30
81	130	28
82	133	27
83	134	25
84	135	23
85	137	22
86	138	20
87	139	19
88	140	17
89	142	15
90	144	14
91	145	12
92	146	11
93	148	9
94	151	7
95	152	6
96	153	4
97	155	3
98	156	1
99	158	0
