iter	Passed	Remaining
0	1173	1172514
1	1180	589219
2	1204	400275
3	1208	300894
4	1213	241427
5	1220	202268
6	1224	173639
7	1232	152842
8	1234	135954
9	1239	122737
10	1243	111840
11	1247	102688
12	1250	94953
13	1252	88209
14	1254	82404
15	1259	77468
16	1261	72930
17	1262	68902
18	1264	65290
19	1266	62042
20	1267	59112
21	1269	56450
22	1275	54175
23	1277	51942
24	1282	50001
25	1285	48142
26	1292	46569
27	1298	45080
28	1301	43566
29	1306	42259
30	1312	41012
31	1323	40049
32	1326	38856
33	1328	37742
34	1332	36748
35	1334	35742
36	1338	34830
37	1340	33924
38	1341	33067
39	1343	32243
40	1347	31525
41	1349	30783
42	1351	30072
43	1352	29389
44	1354	28746
45	1357	28150
46	1362	27632
47	1365	27075
48	1367	26531
49	1368	26004
50	1370	25493
51	1371	25001
52	1372	24530
53	1376	24122
54	1378	23690
55	1386	23376
56	1398	23139
57	1400	22745
58	1403	22390
59	1410	22093
60	1417	21816
61	1423	21540
62	1425	21200
63	1426	20868
64	1428	20554
65	1430	20246
66	1432	19945
67	1436	19684
68	1439	19418
69	1441	19145
70	1443	18890
71	1446	18638
72	1447	18385
73	1451	18157
74	1452	17916
75	1454	17680
76	1455	17447
77	1456	17220
78	1458	16997
79	1459	16780
80	1460	16569
81	1461	16363
82	1462	16156
83	1463	15962
84	1467	15798
85	1469	15614
86	1470	15434
87	1472	15265
88	1474	15093
89	1476	14926
90	1477	14757
91	1479	14597
92	1483	14469
93	1485	14318
94	1487	14166
95	1488	14019
96	1490	13878
97	1492	13733
98	1493	13592
99	1496	13472
100	1498	13342
101	1501	13215
102	1502	13088
103	1504	12961
104	1505	12834
105	1506	12709
106	1508	12586
107	1511	12483
108	1512	12366
109	1514	12250
110	1515	12141
111	1517	12031
112	1519	11924
113	1520	11817
114	1521	11712
115	1524	11614
116	1526	11518
117	1527	11419
118	1529	11326
119	1531	11234
120	1534	11149
121	1536	11056
122	1541	10989
123	1543	10902
124	1545	10821
125	1549	10749
126	1551	10665
127	1553	10581
128	1556	10507
129	1557	10423
130	1559	10343
131	1560	10262
132	1561	10182
133	1563	10102
134	1564	10025
135	1565	9947
136	1569	9886
137	1570	9812
138	1572	9738
139	1573	9664
140	1574	9592
141	1575	9518
142	1576	9448
143	1577	9379
144	1579	9311
145	1580	9243
146	1581	9177
147	1585	9125
148	1587	9065
149	1588	9002
150	1590	8943
151	1592	8887
152	1595	8830
153	1596	8772
154	1600	8723
155	1601	8666
156	1604	8613
157	1605	8558
158	1607	8502
159	1608	8446
160	1609	8387
161	1610	8332
162	1613	8287
163	1615	8233
164	1616	8179
165	1617	8126
166	1618	8074
167	1620	8024
168	1621	7973
169	1622	7923
170	1624	7875
171	1627	7835
172	1630	7793
173	1639	7782
174	1641	7737
175	1645	7705
176	1647	7660
177	1649	7619
178	1651	7575
179	1653	7531
180	1654	7487
181	1656	7444
182	1660	7411
183	1661	7368
184	1662	7325
185	1664	7282
186	1665	7240
187	1666	7198
188	1667	7157
189	1669	7115
190	1670	7074
191	1671	7035
192	1675	7003
193	1677	6970
194	1679	6933
195	1682	6900
196	1683	6863
197	1685	6825
198	1686	6787
199	1687	6750
200	1691	6722
201	1692	6688
202	1695	6655
203	1697	6621
204	1700	6596
205	1705	6574
206	1708	6543
207	1710	6512
208	1711	6479
209	1713	6446
210	1715	6413
211	1716	6381
212	1720	6358
213	1722	6327
214	1724	6294
215	1725	6263
216	1726	6231
217	1728	6198
218	1729	6169
219	1731	6139
220	1732	6107
221	1736	6084
222	1737	6054
223	1738	6023
224	1739	5993
225	1741	5963
226	1742	5932
227	1743	5902
228	1744	5873
229	1745	5843
230	1746	5814
231	1747	5784
232	1749	5760
233	1751	5732
234	1752	5704
235	1753	5676
236	1754	5648
237	1755	5621
238	1756	5594
239	1758	5567
240	1759	5539
241	1759	5512
242	1760	5485
243	1761	5458
244	1762	5432
245	1765	5412
246	1767	5387
247	1768	5361
248	1769	5335
249	1770	5310
250	1771	5284
251	1771	5259
252	1772	5234
253	1773	5209
254	1774	5184
255	1775	5161
256	1777	5138
257	1778	5114
258	1780	5094
259	1781	5071
260	1783	5048
261	1784	5025
262	1785	5003
263	1786	4980
264	1787	4957
265	1788	4934
266	1789	4912
267	1790	4889
268	1790	4866
269	1791	4844
270	1792	4822
271	1794	4801
272	1795	4782
273	1796	4760
274	1797	4739
275	1798	4717
276	1799	4696
277	1800	4675
278	1801	4654
279	1801	4633
280	1802	4612
281	1803	4592
282	1804	4571
283	1805	4551
284	1806	4530
285	1806	4510
286	1807	4490
287	1809	4472
288	1810	4454
289	1811	4435
290	1812	4415
291	1813	4396
292	1814	4377
293	1814	4358
294	1815	4339
295	1816	4320
296	1817	4301
297	1818	4283
298	1818	4264
299	1819	4246
300	1820	4227
301	1821	4209
302	1822	4191
303	1823	4174
304	1825	4158
305	1826	4141
306	1827	4124
307	1828	4107
308	1828	4090
309	1829	4072
310	1830	4055
311	1831	4038
312	1832	4021
313	1833	4004
314	1833	3987
315	1834	3971
316	1835	3954
317	1836	3938
318	1837	3922
319	1839	3908
320	1840	3892
321	1841	3876
322	1841	3860
323	1842	3845
324	1843	3829
325	1844	3813
326	1845	3798
327	1846	3782
328	1847	3767
329	1847	3751
330	1848	3736
331	1849	3721
332	1850	3706
333	1851	3691
334	1852	3676
335	1854	3664
336	1855	3649
337	1856	3636
338	1857	3622
339	1858	3608
340	1860	3594
341	1861	3581
342	1862	3567
343	1863	3553
344	1864	3540
345	1866	3527
346	1868	3516
347	1870	3503
348	1871	3490
349	1872	3476
350	1873	3463
351	1874	3450
352	1875	3437
353	1876	3423
354	1877	3410
355	1878	3397
356	1878	3384
357	1879	3371
358	1880	3357
359	1881	3344
360	1884	3335
361	1885	3322
362	1886	3310
363	1887	3297
364	1888	3285
365	1889	3272
366	1890	3260
367	1891	3247
368	1891	3235
369	1892	3222
370	1893	3210
371	1894	3198
372	1895	3186
373	1896	3174
374	1897	3162
375	1899	3152
376	1900	3140
377	1901	3128
378	1902	3116
379	1902	3104
380	1903	3092
381	1904	3081
382	1905	3069
383	1906	3058
384	1907	3046
385	1908	3035
386	1909	3024
387	1910	3013
388	1911	3001
389	1911	2990
390	1913	2980
391	1914	2969
392	1915	2958
393	1916	2947
394	1917	2936
395	1918	2926
396	1919	2915
397	1920	2904
398	1921	2893
399	1921	2882
400	1922	2872
401	1923	2861
402	1924	2850
403	1925	2840
404	1926	2829
405	1928	2821
406	1929	2810
407	1930	2800
408	1930	2790
409	1931	2779
410	1932	2769
411	1933	2759
412	1933	2748
